Page Name,Word-Level Accuracy,Character-Level Accuracy,Word-Level Errors,Character-Level Errors
page-201,100,100,0,0
page-202,100,100,0,0
page-203,100,100,0,0
page-204,100,100,0,0
page-205,100,100,0,0
page-206,100,100,0,0
page-207,100,100,0,0
page-208,100,100,0,0
page-209,100,100,0,0
page-210,100,100,0,0
page-211,100,100,0,0
page-212,100,100,0,0
page-213,100,100,0,0
page-214,100,0,0,0
page-215,100,100,0,0
page-216,100,100,0,0
page-217,100,100,0,0
page-218,100,100,0,0
page-219,100,100,0,0
page-220,100,100,0,0
page-221,100,100,0,0
page-301,100,100,0,0
page-302,100,100,0,0
page-303,98.96,99.56,2,4
page-304,100,100,0,0
page-305,100,100,0,0
page-306,97.77,99.31,4,7
page-307,100,100,0,0
page-308,100,100,0,0
page-309,91.45,89.96,13,80
page-310,99.31,99.1,1,7
page-311,83.84,84.64,32,153
page-312,96.47,97.93,6,19
page-313,99.4,99.29,1,6
page-314,97.8,97.52,4,23
page-315,97.81,98.6,3,11
page-316,98.43,98,3,19
page-317,98.64,99.25,2,6
page-318,98.97,99.09,2,9
page-319,97.13,97.7,5,21
page-320,97.62,98.58,4,13
page-321,100,100,0,0
page-322,100,100,0,0
page-323,100,100,0,0
page-324,100,100,0,0
page-325,100,100,0,0
page-326,100,100,0,0
page-328,100,100,0,0
page-329,100,100,0,0
page-330,100,100,0,0
page-331,97.53,99.04,4,8
page-332,99.24,99.68,1,2
page-333,97.58,98.8,4,10
page-334,98.7,98.69,2,10
page-335,98.77,99.42,2,5
page-336,90.12,92.62,17,65
page-337,94.54,96.6,10,33
page-338,94.32,97.46,10,24
page-339,96.26,97.03,7,28
page-340,97.49,98.9,5,10
page-341,98.13,99.03,3,8
page-342,96.25,98.55,6,12
page-343,97.16,98.66,4,10
page-344,99.43,99.89,1,1
page-345,99.52,99.81,1,2
page-346,94.65,98.57,10,14
page-347,100,100,0,0
page-348,100,100,0,0
page-349,98.99,99.7,2,3
page-350,99.04,99.81,2,2
page-351,100,100,0,0
page-353,100,100,0,0
page-354,100,100,0,0
page-355,100,100,0,0
page-356,100,100,0,0
page-357,100,100,0,0
page-358,100,100,0,0
page-359,100,100,0,0
page-360,95.28,97.09,10,29
page-361,100,100,0,0
page-362,100,100,0,0
page-363,100,100,0,0
page-364,96.53,98.54,6,12
page-365,97.07,98.68,6,12
page-366,97.37,98.89,5,10
page-367,97.41,98.98,5,10
page-368,94.8,98.28,9,16
page-369,90.1,95.07,19,50
page-370,95.12,97.95,10,20
page-371,95.67,98.25,9,18
page-372,93.02,96.99,15,30
page-373,97.45,99.07,5,8
page-374,99.43,99.64,2,4
 ,Average Accuracy (Word level),Average Accuracy (Character-Level),Average Errors (Word level),Average Errors (Character-Level),
 ,98.3932,97.9379,2,9
